auction_house_name,auction_location,auction_num,auction_start_date,auction_end_date,auction_name,lot_num,sublot_num,price_kind,price_estimate_min,price_estimate_max,price_sold,artist_name,artist_birth,artist_death,artist_nationality,artwork_name,artwork_year_identifier,artwork_start_year,artwork_end_year,artwork_materials,artwork_category,artwork_markings,artwork_edition,artwork_description,artwork_measurements_height,artwork_measurements_width,artwork_measurements_depth,artwork_size_notes,auction_measureunit,artwork_condition_in,artwork_provenance,artwork_exhibited,artwork_literature,artwork_images1,artwork_images2,artwork_images3,artwork_images4,artwork_images5,image1_name,image2_name,image3_name,image4_name,image5_name,lot_origin_url
"Piasa","Paris","562","2022-11-30","","American Design","164","","price realized","10000","15000","0","George Nakashima","1905","1990","","Frenchman’s Cove - Special order","","","","","","","","<strong><br>Description<br></strong>George Nakashima (1905-1990)  Frenchman’s Cove - Special order  Gateleg dining table  Walnut  Model created in 1967  H 72,5 × L 183 × W 61 cm (closed)  H 72,5 × L 183 × W 122 cm (open)  Special order for Mr. and Mrs. Arnold  and Corrine Roth, Livingston, New Jersey, USA  The buyer can be provided with a copy of the original order slip and an authentication letter from Mrs. Mira  Nakashima.","122 cm","","","122 cm","","","","","","https://www.piasa.fr/uploads/george-nakashima-1905-1990-frenchmans-cove-command_84393_63847feb149b04.60235744.jpg","https://www.piasa.fr/uploads/george-nakashima-1905-1990-frenchmans-cove-command_104604_63847feb198a42.17321317.jpg","https://www.piasa.fr/uploads/558346_63847fe9885155.44763077.jpg","","","562__George_Nakashima__164_a.jpg","562__George_Nakashima__164_b.jpg","562__George_Nakashima__164_c.jpg","","","https://www.piasa.fr/en/products/george-nakashima-1905-1990-frenchmans-cove-commande-speciale_6364ed10382648.75536344",
"Piasa","Paris","562","2022-11-30","","American Design","165","","price realized","4000","6000","0","Isamu Noguchi","1988","","","Akari series - Model ","","",""," Washi paper, bamboo and lacquered metal ","material_category","","","<strong><br>Description<br></strong>Isamu Noguchi (1904-1988)  Akari series - Model 31NW  Suspension  Washi paper, bamboo and lacquered metal  Edited by Ozeki & Co  ‘Sun and Moon’ ideogram  Model created in 1971  H 140 × Ø 64 cm","64 cm","","","64 cm","","","","","","https://www.piasa.fr/catalog/images/2040/165_1.jpg","","","","","562__Isamu_Noguchi__165_a.jpg","","","","","https://www.piasa.fr/en/products/isamu-noguchi-1904-1988-serie-akari-modele-31nw_6364ed103f6462.34178293",
"Piasa","Paris","562","2022-11-30","","American Design","166","","price realized","4000","6000","10400","George Nakashima","1905","1990","","Captain","","","","","","","","<strong><br>Description<br></strong>George Nakashima (1905-1990)  Captain    30    Pair of chairs - Special order  Walnut  Model created in 1961  H 72 × L 59,5 × W 51 cm  Bibliography: J. Lovine & T. Merrill, 'Modern  Americana: Studio Furniture from High Craft  to High Glam', Ed. Rizzoli, 2008, similar model p. 128  Special order for Mr. Elliot Steckel,  New York, New York, USA.  The buyer can be provided with a copy of the original order slip.","51 cm","","","51 cm","","","","","","https://www.piasa.fr/catalog/images/2040/166_1.jpg","https://www.piasa.fr/catalog/images/2040/166_2.jpg","","","","562__George_Nakashima__166_a.jpg","562__George_Nakashima__166_b.jpg","","","","https://www.piasa.fr/en/products/george-nakashima-1905-1990-captain_6364ed1044b6d4.73538730",
"Piasa","Paris","562","2022-11-30","","American Design","167","","price realized","8000","12000","10400","George Nakashima","1905","1990","","Wepman model - Unique pieces","","","","","","","","<strong><br>Description<br></strong>George Nakashima (1905-1990)  Wepman model - Unique pieces  Pair of coffee tables  Walnut  Model created in 1960  H 36 × L 52,5 × W 41 cm","41 cm","","","41 cm","","","","","","https://www.piasa.fr/catalog/images/2040/167_1.jpg","","","","","562__George_Nakashima__167_a.jpg","","","","","https://www.piasa.fr/en/products/george-nakashima-1905-1990-modele-wepman-pieces-uniques_6364ed104a9fa2.15417678",
"Piasa","Paris","562","2022-11-30","","American Design","168","","price realized","15000","20000","33800","Harry Bertoia","1915","1978","","Gong - Unique piece","","",""," Bronze ","material_category","The buyer can be provided with the original signed Harry Bertoia drawing.","","<strong><br>Description<br></strong>Harry Bertoia (1915-1978)  Gong - Unique piece  Sculpture  Bronze  Model created circa 1965  H 40,5 × L 67 × W 9 cm (with plinth)  H 30,5 × L 67 × W 0,5 cm (sculpture only)  The buyer can be provided with the original signed Harry Bertoia drawing.","0,5 cm","","","0,5 cm","","","","","","https://www.piasa.fr/uploads/harry-bertoia-1915-1978-gong-piece-unique_6364ed10_963622_6384821deb42e3.18102112.jpg","https://www.piasa.fr/uploads/harry-bertoia-1915-1978-gong-piece-unique_6364ed10_982433_6384821defda72.94669520.jpg","https://www.piasa.fr/uploads/375098_6384821c5b94f9.67056637.jpg","","","562__Harry_Bertoia__168_a.jpg","562__Harry_Bertoia__168_b.jpg","562__Harry_Bertoia__168_c.jpg","","","https://www.piasa.fr/en/products/harry-bertoia-1915-1978-gong-piece-unique_6364ed104f84b0.92471721",
"Piasa","Paris","562","2022-11-30","","American Design","169","","price realized","20000","30000","40300","Harry Bertoia","1915","1978","","Three Cones - Unique piece","","",""," Bronze ","material_category","","","<strong><br>Description<br></strong>Harry Bertoia (1915-1978)  Three Cones - Unique piece  Sculpture  Bronze  Model created circa 1958  H 43 × L 30,5 × W 25,5 cm  The buyer can be provided with an authenticity certificate from the Bertoia Foundation.","25,5 cm","","","25,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/169_1.jpg","https://www.piasa.fr/catalog/images/2040/169_2.jpg","","","","562__Harry_Bertoia__169_a.jpg","562__Harry_Bertoia__169_b.jpg","","","","https://www.piasa.fr/en/products/harry-bertoia-1915-1978-three-cones-piece-unique_6364ed10550466.34740318",
"Piasa","Paris","562","2022-11-30","","American Design","170","","price realized","40000","60000","67600","Harry Bertoia","1915","1978","","Sonambient series - Unique piece","","",""," Beryllium copper and brass ","material_category","","","<strong><br>Description<br></strong>Harry Bertoia (1915-1978)  Sonambient series - Unique piece  Sound sculpture  Beryllium copper and brass  Model created circa 1977  H 94,5 × L 30,5 × W 30,5 cm  The buyer can be provided with an authenticity certificate from the Bertoia Foundation.","30,5 cm","","","30,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/170_1.jpg","https://www.piasa.fr/catalog/images/2040/170_2.jpg","https://www.piasa.fr/catalog/images/2040/170_3.jpg","https://www.piasa.fr/catalog/images/2040/170_4.jpg","","562__Harry_Bertoia__170_a.jpg","562__Harry_Bertoia__170_b.jpg","562__Harry_Bertoia__170_c.jpg","562__Harry_Bertoia__170_d.jpg","","https://www.piasa.fr/en/products/harry-bertoia-1915-1978-serie-sonambient-piece-unique_6364ed105abf67.18215702",
"Piasa","Paris","562","2022-11-30","","American Design","171","","price realized","20000","30000","24700","Harry Bertoia","1915","1978","","Sonambient series - Unique piece","","",""," Beryllium copper and brass ","material_category","","","<strong><br>Description<br></strong>Harry Bertoia (1915-1978)  Sonambient series - Unique piece  Sound sculpture    31    Beryllium copper and brass  Model created in 1976  H 58 × L 18 × W 18 cm  The buyer can be provided with an authenticity certificate from the Bertoia Foundation.","18 cm","","","18 cm","","","","","","https://www.piasa.fr/catalog/images/2040/171_1.jpg","https://www.piasa.fr/catalog/images/2040/171_2.jpg","https://www.piasa.fr/catalog/images/2040/171_3.jpg","","","562__Harry_Bertoia__171_a.jpg","562__Harry_Bertoia__171_b.jpg","562__Harry_Bertoia__171_c.jpg","","","https://www.piasa.fr/en/products/harry-bertoia-1915-1978-serie-sonambient-piece-unique_6364ed10631a02.65491467",
"Piasa","Paris","562","2022-11-30","","American Design","172","","price realized","3000","4000","4550","Ben Seibel","1918","1985","","Pair of table lamps","","",""," Iron and fiberglass ","material_category","","","<strong><br>Description<br></strong>Ben Seibel (1918-1985)  Pair of table lamps  Iron and fiberglass  Model created in the 1950s  H 89 × Ø 21,5 cm","21,5 cm","","","21,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/172_1.jpg","https://www.piasa.fr/catalog/images/2040/172_2.jpg","","","","562__Ben_Seibel__172_a.jpg","562__Ben_Seibel__172_b.jpg","","","","https://www.piasa.fr/en/products/ben-seibel-1918-1985-paire-de-lampes-de-table_6364ed106a49b2.22840322",
"Piasa","Paris","562","2022-11-30","","American Design","173","","price realized","12000","18000","0","Paul Evans","1931","1987","","Coffee table - Special order","","",""," Steel, slate and gold leaf ","material_category","","","<strong><br>Description<br></strong>Paul Evans (1931-1987)  Coffee table - Special order  Steel, slate and gold leaf  Model created in 1962  H 39 × Ø 101 cm  Special order for Mr. J. S. Thornton,  Princeton, New Jersey, USA  The buyer can be provided with a drawing and the original purchase slip.  Bibliography: J. Lovine & T. Merrill, 'Modern  Americana: Studio Furniture from High Craft  to High Glam', Ed. Rizzoli, 2008, similar model pp. 106-107","101 cm","","","101 cm","","","","","","https://www.piasa.fr/uploads/paul-evans-1931-1987-table-basse-commande-speciale_96137_636bb26c177906.17387197.jpg","https://www.piasa.fr/uploads/paul-evans-1931-1987-table-basse-commande-speciale_113951_636bb26c1bd274.73149048.jpg","https://www.piasa.fr/uploads/paul-evans-1931-1987-table-basse-commande-speciale_133303_636bb26c208c08.10576381.jpg","https://www.piasa.fr/uploads/497850_636bb26a798ca8.00394874.jpg","","562__Paul_Evans__173_a.jpg","562__Paul_Evans__173_b.jpg","562__Paul_Evans__173_c.jpg","562__Paul_Evans__173_d.jpg","","https://www.piasa.fr/en/products/paul-evans-1931-1987-table-basse-commande-speciale_6364ed10701d84.23938235",
"Piasa","Paris","562","2022-11-30","","American Design","174","","price realized","6000","9000","0","","","","","","","","","","","","","<strong><br>Description<br></strong>James Beach (20th c.)  Gateleg desk - Unique piece  Walnut  Model created in 1968  Stamped 'James Beach California'  H 72 × L 142 × W 87,5 cm (closed)  H 72 × L 233,5 × W 87,5 cm (open)","87,5 cm","","","87,5 cm","","","","","","https://www.piasa.fr/uploads/james-beach-xx-bureau-a-abattants-piece-unique_636_281223_63847ffa44a8f8.64161643.jpg","https://www.piasa.fr/uploads/james-beach-xx-bureau-a-abattants-piece-unique_636_301157_63847ffa4986d2.14596441.jpg","https://www.piasa.fr/uploads/103362_63847ff9193d13.90422387.jpg","","","562____174_a.jpg","562____174_b.jpg","562____174_c.jpg","","","https://www.piasa.fr/en/products/james-beach-xx-bureau-a-abattants-piece-unique_6364ed10771370.98437622",
"Piasa","Paris","562","2022-11-30","","American Design","175","","price realized","4000","6000","0","Isamu Noguchi","1988","","","Akari series - Model ","","",""," Washi paper, bamboo and lacquered metal ","material_category","","","<strong><br>Description<br></strong>Isamu Noguchi (1904-1988)  Akari series - Model 140XL  Washi paper, bamboo and lacquered metal  Edited by Ozeki & Co  ‘Sun and Moon’ ideogram  Model created circa 1970  H 140 × L 37 × W 38 cm","38 cm","","","38 cm","","","","","","https://www.piasa.fr/catalog/images/2040/175_1.jpg","","","","","562__Isamu_Noguchi__175_a.jpg","","","","","https://www.piasa.fr/en/products/isamu-noguchi-1904-1988-serie-akari-modele-140xl_6364ed107f0c69.99832260",
"Piasa","Paris","562","2022-11-30","","American Design","176","","price realized","7000","9000","8450","William & 'Billy' Haines","1900","1973","","Sofa","","","","","","","","<strong><br>Description<br></strong>William & 'Billy' Haines (1900-1973)  Sofa  Walnut and fabric  Model created in the 1950s  H 81 × L 241 × W 91,5 cm","91,5 cm","","","91,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/176_1.jpg","https://www.piasa.fr/catalog/images/2040/176_2.jpg","","","","562__William_&_Billy_Haines__176_a.jpg","562__William_&_'Billy'_Haines__176_b.jpg","","","","https://www.piasa.fr/en/products/william-billy-haines-1900-1973-canape_6364ed108475e1.10816626",
"Piasa","Paris","562","2022-11-30","","American Design","177","","price realized","7000","9000","8450","William & 'Billy' Haines","1900","1973","","Sofa","","","","","","","","<strong><br>Description<br></strong>William & 'Billy' Haines (1900-1973)  Sofa  Walnut and fabric  Model created in the 1950s  H 81 × L 241 × W 91,5 cm","91,5 cm","","","91,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/177_1.jpg","","","","","562__William_&_Billy_Haines__177_a.jpg","","","","","https://www.piasa.fr/en/products/william-billy-haines-1900-1973-canape_6364ed108a4129.16725633",
"Piasa","Paris","562","2022-11-30","","American Design","178","","price realized","10000","15000","0","Paul Frankl","1886","1958","","Table with extensions","","","","","","","","<strong><br>Description<br></strong>Paul Frankl (1886-1958)  Table with extensions  Cork and maple  Edited by Johnson Furniture Company  Model created in 1950  H 73,5 × L 183 × W 106,5 cm  Each extension: L 28 cm","28 cm","","","28 cm","","","","","","https://www.piasa.fr/uploads/paul-frankl-1886-1958-table-a-allonges_6364ed108f0_394641_636528dd605999.38513237.jpg","https://www.piasa.fr/uploads/paul-frankl-1886-1958-table-a-allonges_6364ed108f0_420792_636528dd66bc24.56870616.jpg","https://www.piasa.fr/uploads/paul-frankl-1886-1958-table-a-allonges_6364ed108f0_440333_636528dd6b8144.10174675.jpg","","","562__Paul_Frankl__178_a.jpg","562__Paul_Frankl__178_b.jpg","562__Paul_Frankl__178_c.jpg","","","https://www.piasa.fr/en/products/paul-frankl-1886-1958-table-a-allonges_6364ed108f0802.23979232",
"Piasa","Paris","562","2022-11-30","","American Design","179","","price realized","3000","4000","0","","","","","","","",""," Ceramic, walnut, brass and fabric ","material_category","","","<strong><br>Description<br></strong>Jane & Gordon Martz (20th c.)  Pair of table lamps  Ceramic, walnut, brass and fabric  Edited by Marshall Studios  Model created in the 1960s  H 63,5 × Ø 30,5 cm","30,5 cm","","","30,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/179_1.jpg","https://www.piasa.fr/catalog/images/2040/179_2.jpg","","","","562____179_a.jpg","562____179_b.jpg","","","","https://www.piasa.fr/en/products/jane-gordon-martz-xx-paire-de-lampes-de-table_6364ed1098e6c9.45965304",
"Piasa","Paris","562","2022-11-30","","American Design","180","","price realized","8000","12000","9750","Terence Harold Robsjohn Gibbings","1905","1976","","Pair of armchairs and footstool","","","","","","","","<strong><br>Description<br></strong>Terence Harold Robsjohn Gibbings (1905-1976)  Pair of armchairs and footstool  Walnut and fabric  Edited by Widdicomb Furniture Company  Model created in the 1950s  H 79,5 × L 65 × W 71 cm (armchair)  H 38 × L 66 × W 66 cm (footstool)","66 cm","","","66 cm","","","","","","https://www.piasa.fr/catalog/images/2040/180_1.jpg","","","","","562__Terence_Harold_Robsjohn_Gibbings__180_a.jpg","","","","","https://www.piasa.fr/en/products/terence-harold-robsjohn-gibbings-1905-1976-paire-de-fauteuils-et-ottoman_6364ed109e5b01.40255312",
"Piasa","Paris","562","2022-11-30","","American Design","181","","price realized","3000","4000","5850","","","","","","","",""," Ceramic, walnut, brass and fabric ","material_category","","","<strong><br>Description<br></strong>Jane &amp; Gordon Martz (20th c.)  Pair of table lamps  Ceramic, walnut, brass and fabric  Edited by Marshall Studios  Model created in the 1960s  H 66 × Ø 30,5 cm","30,5 cm","","","30,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/181_1.jpg","https://www.piasa.fr/catalog/images/2040/181_2.jpg","","","","562____181_a.jpg","562____181_b.jpg","","","","https://www.piasa.fr/en/products/jane-gordon-martz-xx-paire-de-lampes-de-table_6364ed10a33672.03267869",
"Piasa","Paris","562","2022-11-30","","American Design","182","","price realized","4000","6000","0","Terence Harold Robsjohn-Gibbings","1905","1976","","Surfboard","","","","","","","","<strong><br>Description<br></strong>Terence Harold Robsjohn-Gibbings (1905-1976)  Surfboard  Coffee table  Walnut  Edited by Widdicomb  Model created in 1954  H 42 × L 184 × W 47,5 cm","47,5 cm","","","47,5 cm","","","","","","https://www.piasa.fr/uploads/terence-harold-robsjohn-gibbings-1905-1976-surfboa_670777_636528eaa3c419.76327329.jpg","","","","","562__Terence_Harold_Robsjohn-Gibbings__182_a.jpg","","","","","https://www.piasa.fr/en/products/terence-harold-robsjohn-gibbings-1905-1976-surfboard_6364ed10a887b0.10646071",
"Piasa","Paris","562","2022-11-30","","American Design","183","","price realized","3000","4000","6500","","","","","","","",""," Ceramic, walnut, brass and fabric ","material_category","","","<strong><br>Description<br></strong>Jane & Gordon Martz (20th c.)  Pair of table lamps  Ceramic, walnut, brass and fabric  Edited by Marshall Studios  Model created in the 1960s  H 43 × Ø 25,5 cm","25,5 cm","","","25,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/183_1.jpg","https://www.piasa.fr/catalog/images/2040/183_2.jpg","","","","562____183_a.jpg","562____183_b.jpg","","","","https://www.piasa.fr/en/products/jane-gordon-martz-xx-paire-de-lampes-de-table_6364ed10ae4d05.43706725",
"Piasa","Paris","562","2022-11-30","","American Design","184","","price realized","3000","4000","14300","","","","","","","",""," Ceramic, walnut, brass and fabric ","material_category","","","<strong><br>Description<br></strong>Jane & Gordon Martz (20th c.)  Pair of table lamps  Ceramic, walnut, brass and fabric  Edited by Marshall Studios  Model created in the 1960s  H 94 × Ø 40,5 cm","40,5 cm","","","40,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/184_1.jpg","https://www.piasa.fr/catalog/images/2040/184_2.jpg","","","","562____184_a.jpg","562____184_b.jpg","","","","https://www.piasa.fr/en/products/jane-gordon-martz-xx-paire-de-lampes-de-table_6364ed10b49ee7.86680578",
"Piasa","Paris","562","2022-11-30","","American Design","185","","price realized","7000","9000","0","Karl Springer","1931","1991","","Console - Limited edition","","","","","","","","<strong><br>Description<br></strong>Karl Springer (1931-1991)  Console - Limited edition  Copper leaf, Negoro lacquer and walnut  Limited edition of four  Model created in the 1980s  H 87,5 × L 178 × W 40,5 cm","40,5 cm","","","40,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/185_1.jpg","https://www.piasa.fr/catalog/images/2040/185_2.jpg","","","","562__Karl_Springer__185_a.jpg","562__Karl_Springer__185_b.jpg","","","","https://www.piasa.fr/en/products/karl-springer-1931-1991-console-edition-limitee_6364ed10ba59e2.56562835",
"Piasa","Paris","562","2022-11-30","","American Design","186","","price realized","4000","6000","15600","","","","","","","",""," Ceramic, walnut, brass and fabric ","material_category","","","<strong><br>Description<br></strong>Jane & Gordon Martz (20th c.)  Reading light  Ceramic, walnut, brass and fabric  Edited by Marshall Studios  Model created in the 1960s  H 129,5 × Ø 40,5 cm","40,5 cm","","","40,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/186_1.jpg","https://www.piasa.fr/catalog/images/2040/186_2.jpg","","","","562____186_a.jpg","562____186_b.jpg","","","","https://www.piasa.fr/en/products/jane-gordon-martz-xx-liseuse_6364ed10bfd9d9.17798528",
"Piasa","Paris","562","2022-11-30","","American Design","187","","price realized","12000","18000","0","John Dickinson","1920","1982","","Model African","","","","","","","","<strong><br>Description<br></strong>John Dickinson (1920-1982)  Model African  Pair of side tables  Painted plaster  Model created in the 1970s  H 66 × Ø 55 cm  Bibliography: J. Lovine & T. Merrill, 'Modern  Americana: Studio Furniture from High Craft to  High Glam', Ed. Rizzoli, 2008, similar model  pp. 228 and 231-232","55 cm","","","55 cm","","","","","","https://www.piasa.fr/uploads/166229_63652a41289605.15787580.jpg","https://www.piasa.fr/uploads/587166_63652a4c8f5ac0.40579281.jpg","https://www.piasa.fr/uploads/867411_63652a56d3c5c8.97212229.jpg","","","562__John_Dickinson__187_a.jpg","562__John_Dickinson__187_b.jpg","562__John_Dickinson__187_c.jpg","","","https://www.piasa.fr/en/products/john-dickinson-1920-1982-modele-african_6364ed10c55799.69763294",
"Piasa","Paris","562","2022-11-30","","American Design","188","","price realized","25000","35000","0","Judy Kensley McKie","1944","","","Scriban desk - Unique piece","","",""," Linden wood, iron and leather ","material_category","Signed and dated 'JKM 04 W. DEN' ","","<strong><br>Description<br></strong>Judy Kensley McKie (born in 1944)  Scriban desk - Unique piece  Linden wood, iron and leather  Model created in 2004  Signed and dated 'JKM 04 W. DEN'  H 113 × L 86,5 × W 51 cm","51 cm","","","51 cm","","","","","","https://www.piasa.fr/uploads/judy-kensley-mckie-nee-en-1944-bureau-scriban-piec_291872_637f41a2474276.18924973.jpg","https://www.piasa.fr/uploads/judy-kensley-mckie-nee-en-1944-bureau-scriban-piec_313548_637f41a24c8d37.20864305.jpg","https://www.piasa.fr/uploads/judy-kensley-mckie-nee-en-1944-bureau-scriban-piec_330123_637f41a2509927.81530063.jpg","https://www.piasa.fr/uploads/judy-kensley-mckie-nee-en-1944-bureau-scriban-piec_347793_637f41a254e971.95339729.jpg","","562__Judy_Kensley_McKie__188_a.jpg","562__Judy_Kensley_McKie__188_b.jpg","562__Judy_Kensley_McKie__188_c.jpg","562__Judy_Kensley_McKie__188_d.jpg","","https://www.piasa.fr/en/products/judy-kensley-mckie-nee-en-1944-bureau-scriban-piece-unique_6364ed10cc71f7.46022332",
"Piasa","Paris","562","2022-11-30","","American Design","189","","price realized","12000","18000","44200","Paul Frankl","1886","1958","","Big Foot","","","","","","","","<strong><br>Description<br></strong>Paul Frankl (1886-1958)  Big Foot  Coffee table  Edited by Johnson Furniture Company  Cork and walnut  Model created in 1948  H 37 × L 183 × W 91,5 cm","91,5 cm","","","91,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/189_1.jpg","https://www.piasa.fr/catalog/images/2040/189_2.jpg","https://www.piasa.fr/catalog/images/2040/189_3.jpg","","","562__Paul_Frankl__189_a.jpg","562__Paul_Frankl__189_b.jpg","562__Paul_Frankl__189_c.jpg","","","https://www.piasa.fr/en/products/paul-frankl-1886-1958-big-foot_6364ed10d3de22.73888540",
"Piasa","Paris","562","2022-11-30","","American Design","190","","price realized","8000","12000","26000","","","","","","","","","","","Signed 'James Beach California' ","","<strong><br>Description<br></strong>James Beach (20th c.)  Bookcase - Unique piece  Walnut and cork  Signed 'James Beach California'  Model created in 1968  H 114,5 × L 244 × W 39,5 cm","39,5 cm","","","39,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/190_1.jpg","https://www.piasa.fr/catalog/images/2040/190_2.jpg","https://www.piasa.fr/catalog/images/2040/190_3.jpg","","","562____190_a.jpg","562____190_b.jpg","562____190_c.jpg","","","https://www.piasa.fr/en/products/james-beach-xx-bibliotheque-piece-unique_6364ed10da7963.54654105",
"Piasa","Paris","562","2022-11-30","","American Design","191","","price realized","3000","4000","16900","","","","","","","",""," Ceramic, walnut, brass and fabric ","material_category","","","<strong><br>Description<br></strong>Jane & Gordon Martz (20th c.)  Pair of table lamps  Ceramic, walnut, brass and fabric  Edited by Marshall Studios  Model created in the 1960s  H 94 × Ø 43 cm","43 cm","","","43 cm","","","","","","https://www.piasa.fr/catalog/images/2040/191_1.jpg","https://www.piasa.fr/catalog/images/2040/191_2.jpg","","","","562____191_a.jpg","562____191_b.jpg","","","","https://www.piasa.fr/en/products/jane-gordon-martz-xx-paire-de-lampes-de-table_6364ed10e0f4b6.18458522",
"Piasa","Paris","562","2022-11-30","","American Design","192","","price realized","20000","30000","84500","Terence Harold Robsjohn-Gibbings","1905","1976","","Klismos","","","","","","","","<strong><br>Description<br></strong>Terence Harold Robsjohn-Gibbings (1905-1976)  Klismos  Set of eight chairs  Walnut and leather  Model created in 1961  H 87,5 × L 53 × W 73,5 cm  Bibliography: J. Lovine & T. Merrill, 'Modern  Americana: Studio Furniture from High Craft to  High Glam', Ed. Rizzoli, 2008, similar model p. 194","73,5 cm","","","73,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/192_1.jpg","https://www.piasa.fr/catalog/images/2040/192_2.jpg","https://www.piasa.fr/catalog/images/2040/192_3.jpg","","","562__Terence_Harold_Robsjohn-Gibbings__192_a.jpg","562__Terence_Harold_Robsjohn-Gibbings__192_b.jpg","562__Terence_Harold_Robsjohn-Gibbings__192_c.jpg","","","https://www.piasa.fr/en/products/terence-harold-robsjohn-gibbings-1905-1976-klismos_6364ed10e6b904.95840678",
"Piasa","Paris","562","2022-11-30","","American Design","193","","price realized","6000","9000","7800","Carole Stupell","1905","1996","","Pair of table lamps","","",""," Quartz, plywood, brass and fabric ","material_category","","","<strong><br>Description<br></strong>Carole Stupell (1905-1996)  Pair of table lamps  Quartz, plywood, brass and fabric  Model created in the 1950s  H 81 × Ø 46 cm","46 cm","","","46 cm","","","","","","https://www.piasa.fr/catalog/images/2040/193_1.jpg","https://www.piasa.fr/catalog/images/2040/193_2.jpg","https://www.piasa.fr/catalog/images/2040/193_3.jpg","","","562__Carole_Stupell__193_a.jpg","562__Carole_Stupell__193_b.jpg","562__Carole_Stupell__193_c.jpg","","","https://www.piasa.fr/en/products/carole-stupell-1905-1996-paire-de-lampes-de-table_6364ed10ed3d13.92636044",
"Piasa","Paris","562","2022-11-30","","American Design","194","","price realized","8000","12000","0","Cynthia Sargent","1922","2006","","Carpet - Unique piece","","","","","","","","<strong><br>Description<br></strong>Cynthia Sargent (1922-2006)  Carpet - Unique piece  Wool  Model created in the 1980s  Ø 249 cm","249 cm","","","249 cm","","","","","","https://www.piasa.fr/catalog/images/2040/194_1.jpg","https://www.piasa.fr/catalog/images/2040/194_2.jpg","","","","562__Cynthia_Sargent__194_a.jpg","562__Cynthia_Sargent__194_b.jpg","","","","https://www.piasa.fr/en/products/cynthia-sargent-1922-2006-tapis-piece-unique_6364ed10f38a54.81499367",
"Piasa","Paris","562","2022-11-30","","American Design","195","","price realized","8000","12000","10928","ƒ Philip","1907","1987","","and Kelvin Laverne (born in","","1937",""," Bronze and tin ","material_category","Signed 'Kelvin Philip Laverne' on the tabletop ","","<strong><br>Description<br></strong>ƒ Philip (1907-1987)  and Kelvin Laverne (born in 1937)  Chan series  Coffee table  Bronze and tin  Signed 'Kelvin Philip Laverne' on the tabletop  Model created in the 1960s  H 43,5 × Ø 120 cm","120 cm","","","120 cm","","","","","","https://www.piasa.fr/uploads/f-philip-1907-1987-et-kelvin-laverne-ne-en-1937_63_60631_6388b56e0ecdd7.88227491.jpg","https://www.piasa.fr/uploads/f-philip-1907-1987-et-kelvin-laverne-ne-en-1937_63_80534_6388b56e13a9c0.58508908.jpg","https://www.piasa.fr/uploads/f-philip-1907-1987-et-kelvin-laverne-ne-en-1937_63_114720_6388b56e1c0264.36299715.jpg","","","562__f_Philip__195_a.jpg","562__f_Philip__195_b.jpg","562__f_Philip__195_c.jpg","","","https://www.piasa.fr/en/products/f-philip-1907-1987-et-kelvin-laverne-ne-en-1937_6364ed11054f21.89128479",
"Piasa","Paris","562","2022-11-30","","American Design","196","","price realized","8000","12000","0","ƒ Philip","1907","1987","","and Kelvin Laverne (born in","","1937",""," Bronze and tin ","material_category","Signed 'Kelvin Philip Laverne' on the tabletop ","","<strong><br>Description<br></strong>ƒ Philip (1907-1987)  and Kelvin Laverne (born in 1937)  Chan series  Coffee table  Bronze and tin  Signed 'Kelvin Philip Laverne' on the tabletop  ‘Philip Laverne Galleries’ label beneath the tabletop  Model created in the 1960s  H 43,5 × Ø 120 cm","120 cm","","","120 cm","","","","","","https://www.piasa.fr/catalog/images/2040/196_1.jpg","https://www.piasa.fr/catalog/images/2040/196_2.jpg","","","","562__f_Philip__196_a.jpg","562__f_Philip__196_b.jpg","","","","https://www.piasa.fr/en/products/f-philip-1907-1987-et-kelvin-laverne-ne-en-1937_6364ed110beae3.62620809",
